ID,City,Country,Latitude,Longitude,Time,Description,Max Temp,Humidity,Wind Speed,Cloudiness,Rain,Snow
0,Garoowe,SO,8.4054,48.4845,2021-01-09 20:45:48,clear sky,66.99,64,16.51,0,0.0,0.0
1,Vendas Novas,PT,38.6771,-8.4579,2021-01-09 20:45:49,few clouds,43.0,65,11.5,20,0.0,0.0
2,Butaritari,KI,3.0707,172.7902,2021-01-09 20:45:49,light rain,81.7,80,21.07,62,0.22,0.0
3,Makakilo City,US,21.3469,-158.0858,2021-01-09 20:41:06,clear sky,80.6,54,1.3,1,0.0,0.0
4,Cap Malheureux,MU,-19.9842,57.6142,2021-01-09 20:45:49,clear sky,78.01,84,4.0,1,0.0,0.0
5,Katsuura,JP,35.1333,140.3,2021-01-09 20:45:49,clear sky,30.2,59,4.61,0,0.0,0.0
6,Puerto Ayora,EC,-0.7393,-90.3518,2021-01-09 20:45:49,clear sky,84.2,58,12.66,0,0.0,0.0
7,Yellowknife,CA,62.456,-114.3525,2021-01-09 20:44:02,broken clouds,12.2,85,6.91,75,0.0,0.0
8,Khatanga,RU,71.9667,102.5,2021-01-09 20:45:50,overcast clouds,-30.8,85,2.1,89,0.0,0.0
9,Jamestown,US,42.097,-79.2353,2021-01-09 20:44:33,clear sky,34.0,60,9.22,1,0.0,0.0
10,Beringovskiy,RU,63.05,179.3167,2021-01-09 20:45:50,overcast clouds,-15.61,88,11.5,100,0.0,0.0
11,Juba,SS,4.8517,31.5825,2021-01-09 20:45:51,overcast clouds,81.01,30,3.91,95,0.0,0.0
12,Kavieng,PG,-2.5744,150.7967,2021-01-09 20:45:51,overcast clouds,82.29,76,9.73,99,0.0,0.0
13,Rikitea,PF,-23.1203,-134.9692,2021-01-09 20:45:51,overcast clouds,78.35,75,13.65,100,0.0,0.0
14,Ushuaia,AR,-54.8,-68.3,2021-01-09 20:42:42,light rain,53.6,54,13.8,40,0.39,0.0
15,Khani,GE,41.9563,42.9566,2021-01-09 20:45:52,clear sky,41.0,56,3.44,0,0.0,0.0
16,Lagoa,PT,39.05,-27.9833,2021-01-09 20:45:52,overcast clouds,56.43,59,6.26,99,0.0,0.0
17,Novy Urengoy,RU,66.0833,76.6333,2021-01-09 20:45:52,overcast clouds,-9.08,90,10.25,98,0.0,0.0
18,Longyearbyen,SJ,78.2186,15.6401,2021-01-09 20:45:52,scattered clouds,24.8,80,8.05,40,0.0,0.0
19,Sitka,US,57.0531,-135.33,2021-01-09 20:45:53,moderate rain,44.6,57,17.27,90,1.16,0.0
20,Hithadhoo,MV,-0.6,73.0833,2021-01-09 20:45:53,overcast clouds,80.67,76,10.4,100,0.0,0.0
21,Aktau,KZ,43.65,51.2,2021-01-09 20:45:53,overcast clouds,35.6,60,15.66,90,0.0,0.0
22,Jalu,LY,29.0331,21.5482,2021-01-09 20:45:53,clear sky,65.93,35,7.7,0,0.0,0.0
23,São Filipe,CV,14.8961,-24.4956,2021-01-09 20:45:54,clear sky,73.06,73,17.69,9,0.0,0.0
24,Atuona,PF,-9.8,-139.0333,2021-01-09 20:45:54,overcast clouds,78.26,74,18.66,87,0.0,0.0
25,Saint Paul Harbor,US,57.79,-152.4072,2021-01-09 20:45:54,mist,35.6,80,14.97,90,0.0,0.56
26,San Policarpo,PH,12.1791,125.5072,2021-01-09 20:45:54,heavy intensity rain,80.11,85,19.33,100,5.0126,0.0
27,Vaini,TO,-21.2,-175.2,2021-01-09 20:45:54,broken clouds,80.6,89,6.91,75,0.0,0.0
28,Ponta do Sol,PT,32.6667,-17.1,2021-01-09 20:45:55,scattered clouds,51.01,74,1.99,50,0.0,0.0
29,Hilo,US,19.7297,-155.09,2021-01-09 20:45:55,overcast clouds,78.8,61,6.91,90,0.0,0.0
30,Joshīmath,IN,30.5667,79.5667,2021-01-09 20:45:55,clear sky,42.8,30,5.97,8,0.0,0.0
31,Saint-Pierre,RE,-21.3393,55.4781,2021-01-09 20:45:55,clear sky,75.2,83,4.61,0,0.0,0.0
32,Luau,AO,-10.7073,22.2247,2021-01-09 20:45:56,overcast clouds,64.74,97,4.63,99,0.0,0.0
33,California City,US,35.1258,-117.9859,2021-01-09 20:41:16,clear sky,59.0,17,13.8,1,0.0,0.0
34,Albany,US,42.6001,-73.9662,2021-01-09 20:45:56,overcast clouds,33.01,50,8.1,100,0.0,0.0
35,Pacific Grove,US,36.6177,-121.9166,2021-01-09 20:44:07,clear sky,60.01,62,8.05,1,0.0,0.0
36,Busselton,AU,-33.65,115.3333,2021-01-09 20:45:57,overcast clouds,66.99,82,4.0,91,0.0,0.0
37,Rivadavia,AR,-33.1905,-68.4608,2021-01-09 20:45:57,clear sky,89.6,18,8.05,0,0.0,0.0
38,Taltal,CL,-25.4,-70.4833,2021-01-09 20:45:57,few clouds,70.38,62,8.08,22,0.0,0.0
39,Gouyave,GD,12.1646,-61.7296,2021-01-09 20:45:57,light rain,84.2,74,23.02,20,0.23,0.0
40,Alta Floresta,BR,-9.8756,-56.0861,2021-01-09 20:45:57,few clouds,85.37,73,2.98,18,0.0,0.0
41,Dikson,RU,73.5069,80.5464,2021-01-09 20:45:58,overcast clouds,-6.65,85,7.65,100,0.0,0.0
42,Punta Arenas,CL,-53.15,-70.9167,2021-01-09 20:45:58,light rain,53.6,54,14.97,75,0.43,0.0
43,Hermanus,ZA,-34.4187,19.2345,2021-01-09 20:43:02,light rain,66.99,82,6.26,87,0.21,0.0
44,East London,ZA,-33.0153,27.9116,2021-01-09 20:45:58,few clouds,76.1,75,19.51,12,0.0,0.0
45,Shangrao,CN,28.4532,117.9686,2021-01-09 20:45:59,clear sky,29.57,81,2.28,0,0.0,0.0
46,Kruisfontein,ZA,-34.0033,24.7314,2021-01-09 20:45:59,light rain,70.0,81,5.01,65,0.13,0.0
47,Ust'-Ishim,RU,57.6935,71.1665,2021-01-09 20:45:59,light snow,1.74,94,2.84,100,0.0,0.16
48,Hobart,AU,-42.8794,147.3294,2021-01-09 20:45:36,broken clouds,60.01,88,5.75,75,0.0,0.0
49,Thompson,CA,55.7435,-97.8558,2021-01-09 20:45:59,scattered clouds,6.8,85,3.44,40,0.0,0.0
50,Bluff,NZ,-46.6,168.3333,2021-01-09 20:46:00,overcast clouds,55.0,89,5.01,100,0.0,0.0
51,Ipixuna,BR,-1.7625,-48.8043,2021-01-09 20:46:00,light rain,86.0,74,9.22,40,0.83,0.0
52,Hato Mayor,DO,18.7629,-69.256,2021-01-09 20:46:00,scattered clouds,84.2,74,5.75,40,0.0,0.0
53,Saint-Philippe,RE,-21.3585,55.7679,2021-01-09 20:46:00,clear sky,75.2,83,4.61,0,0.0,0.0
54,Port Alfred,ZA,-33.5906,26.891,2021-01-09 20:46:01,scattered clouds,71.01,90,5.99,25,0.0,0.0
55,Flinders,AU,-34.5833,150.8552,2021-01-09 20:46:01,clear sky,64.99,85,1.01,0,0.0,0.0
56,Mataura,NZ,-46.1927,168.8643,2021-01-09 20:46:01,broken clouds,55.0,89,5.01,81,0.0,0.0
57,Payson,US,40.0444,-111.7321,2021-01-09 20:46:01,haze,37.99,69,4.61,75,0.0,0.0
58,Acajutla,SV,13.5928,-89.8275,2021-01-09 20:45:54,few clouds,86.0,39,4.61,20,0.0,0.0
59,Hobyo,SO,5.3505,48.5268,2021-01-09 20:46:02,clear sky,75.04,71,22.7,0,0.0,0.0
60,Kapaa,US,22.0752,-159.319,2021-01-09 20:46:02,overcast clouds,77.0,78,4.61,90,0.0,0.0
61,Havøysund,NO,70.9963,24.6622,2021-01-09 20:46:02,scattered clouds,21.2,63,16.11,26,0.0,0.0
62,Half Moon Bay,US,37.4636,-122.4286,2021-01-09 20:46:02,clear sky,59.0,51,11.5,1,0.0,0.0
63,Warrensburg,US,38.7628,-93.7361,2021-01-09 20:44:52,overcast clouds,32.0,69,5.75,90,0.0,0.0
64,Necochea,AR,-38.5473,-58.7368,2021-01-09 20:46:03,clear sky,84.0,46,9.19,0,0.0,0.0
65,Chui,UY,-33.6971,-53.4616,2021-01-09 20:46:03,overcast clouds,70.9,60,10.89,96,0.0,0.0
66,Tilichiki,RU,60.4667,166.1,2021-01-09 20:46:03,scattered clouds,-14.58,86,11.63,27,0.0,0.0
67,Selma,US,36.5708,-119.6121,2021-01-09 20:44:00,mist,48.99,100,4.61,90,0.0,0.0
68,Te Anau,NZ,-45.4167,167.7167,2021-01-09 20:42:22,light rain,51.42,82,4.32,100,0.9802,0.0
69,Zhangjiakou,CN,40.81,114.8794,2021-01-09 20:46:04,clear sky,4.77,81,7.9,1,0.0,0.0
70,Phichit,TH,16.25,100.4167,2021-01-09 20:46:04,scattered clouds,71.01,59,3.0,39,0.0,0.0
71,Madarounfa,NE,13.3087,7.156,2021-01-09 20:46:04,clear sky,76.24,18,9.69,0,0.0,0.0
72,Fairbanks,US,64.8378,-147.7164,2021-01-09 20:46:00,broken clouds,6.8,78,3.27,75,0.0,0.0
73,Torbay,CA,47.6666,-52.7314,2021-01-09 20:46:05,overcast clouds,35.01,86,24.16,90,0.0,0.0
74,Raudeberg,NO,61.9875,5.1352,2021-01-09 20:46:05,light snow,34.0,81,26.55,99,0.0,0.11
75,Bilibino,RU,68.0546,166.4372,2021-01-09 20:46:05,few clouds,-26.19,83,0.6,11,0.0,0.0
76,Thinadhoo,MV,0.5333,72.9333,2021-01-09 20:46:06,overcast clouds,81.27,72,9.82,100,0.0,0.0
77,Qaanaaq,GL,77.484,-69.3632,2021-01-09 20:46:06,clear sky,-2.16,77,3.83,2,0.0,0.0
78,Waingapu,ID,-9.6567,120.2641,2021-01-09 20:46:06,very heavy rain,79.79,78,2.08,99,24.412,0.0
79,Tomatlán,MX,19.9333,-105.25,2021-01-09 20:46:06,scattered clouds,84.33,48,10.4,28,0.0,0.0
80,Avarua,CK,-21.2078,-159.775,2021-01-09 20:46:06,broken clouds,84.2,65,10.36,75,0.0,0.0
81,Jumla,NP,29.2747,82.1838,2021-01-09 20:46:07,broken clouds,37.56,55,3.76,82,0.0,0.0
82,Lázaro Cárdenas,MX,17.9583,-102.2,2021-01-09 20:41:21,clear sky,81.52,62,9.48,2,0.0,0.0
83,Brufut,GM,13.3814,-16.7518,2021-01-09 20:46:07,clear sky,73.4,78,5.75,0,0.0,0.0
84,Naze,JP,28.3667,129.4833,2021-01-09 20:46:07,overcast clouds,49.26,71,15.1,100,0.0,0.0
85,Cockburn Town,TC,21.4612,-71.1419,2021-01-09 20:46:08,scattered clouds,79.11,69,2.51,49,0.0,0.0
86,Grand Gaube,MU,-20.0064,57.6608,2021-01-09 20:46:08,clear sky,78.01,84,4.0,1,0.0,0.0
87,Zhigansk,RU,66.7697,123.3711,2021-01-09 20:46:08,overcast clouds,-26.09,85,4.83,100,0.0,0.0
88,Nikolskoye,RU,59.7035,30.7861,2021-01-09 20:46:08,broken clouds,8.01,85,2.24,52,0.0,0.0
89,Yatou,CN,37.15,122.3833,2021-01-09 20:46:09,scattered clouds,16.0,90,9.51,25,0.0,0.0
90,Upernavik,GL,72.7868,-56.1549,2021-01-09 20:46:09,scattered clouds,10.58,82,11.36,40,0.0,0.0
91,Changli,CN,39.7042,119.1506,2021-01-09 20:46:09,clear sky,13.24,78,8.43,0,0.0,0.0
92,Tura,IN,25.5198,90.2201,2021-01-09 20:46:09,overcast clouds,61.05,54,2.15,93,0.0,0.0
93,Codrington,AU,-38.2667,141.9667,2021-01-09 20:46:09,light rain,60.37,74,8.28,0,0.1,0.0
94,Cape Town,ZA,-33.9258,18.4232,2021-01-09 20:42:44,broken clouds,72.0,73,6.91,75,0.0,0.0
95,Evensk,RU,61.95,159.2333,2021-01-09 20:46:10,broken clouds,0.46,82,10.63,77,0.0,0.0
96,Okha,RU,53.5739,142.9478,2021-01-09 20:46:10,broken clouds,-19.1,88,8.05,71,0.0,0.0
97,Tautira,PF,-17.7333,-149.15,2021-01-09 20:46:10,broken clouds,84.2,65,12.66,75,0.0,0.0
98,Saint Lawrence,MT,36.0553,14.204,2021-01-09 20:46:10,clear sky,69.8,60,17.27,0,0.0,0.0
99,Kerema,PG,-7.9631,145.7785,2021-01-09 20:46:11,overcast clouds,78.21,84,7.05,100,0.0,0.0
100,Point Pleasant,US,40.0832,-74.0682,2021-01-09 20:46:11,few clouds,39.0,41,11.5,20,0.0,0.0
101,Iqaluit,CA,63.7506,-68.5145,2021-01-09 20:46:11,light snow,12.2,79,6.91,90,0.0,0.0
102,Aranda de Duero,ES,41.6704,-3.6892,2021-01-09 20:46:11,overcast clouds,24.58,95,8.77,86,0.0,0.0
103,Lumut,MY,4.2323,100.6298,2021-01-09 20:46:11,scattered clouds,77.0,94,1.14,40,0.0,0.0
104,Mar del Plata,AR,-38.0023,-57.5575,2021-01-09 20:45:00,scattered clouds,75.2,60,18.41,40,0.0,0.0
105,Provideniya,RU,64.3833,-173.3,2021-01-09 20:46:12,clear sky,-7.65,83,6.6,0,0.0,0.0
106,Aljezur,PT,37.3191,-8.8033,2021-01-09 20:46:12,broken clouds,39.99,63,1.99,70,0.0,0.0
107,Cayenne,GF,4.9333,-52.3333,2021-01-09 20:46:12,broken clouds,80.6,89,6.91,75,0.0,0.0
108,Barrow,US,71.2906,-156.7887,2021-01-09 20:46:13,overcast clouds,1.4,78,8.05,90,0.0,0.0
109,Faya,SA,18.3851,42.4509,2021-01-09 20:46:13,clear sky,53.6,76,3.02,0,0.0,0.0
110,Barra de Tecoanapa,MX,16.5167,-98.75,2021-01-09 20:46:13,clear sky,83.3,62,11.68,0,0.0,0.0
111,Sayyan,YE,15.1718,44.3244,2021-01-09 20:46:13,clear sky,40.33,69,4.32,0,0.0,0.0
112,Collie,AU,-33.3667,116.15,2021-01-09 20:46:14,overcast clouds,64.99,74,8.01,98,0.0,0.0
113,Hualmay,PE,-11.0964,-77.6139,2021-01-09 20:46:14,scattered clouds,75.34,69,12.91,31,0.0,0.0
114,Leningradskiy,RU,69.3833,178.4167,2021-01-09 20:46:14,scattered clouds,-21.57,84,4.7,39,0.0,0.0
115,George Town,MY,5.4112,100.3354,2021-01-09 20:46:14,few clouds,80.6,78,1.14,20,0.0,0.0
116,Mahébourg,MU,-20.4081,57.7,2021-01-09 20:46:14,broken clouds,78.8,94,8.05,75,0.0,0.0
117,Bambanglipuro,ID,-7.95,110.2833,2021-01-09 20:46:15,moderate rain,77.11,84,3.11,77,3.5484,0.0
118,Philadelphia,US,39.9523,-75.1638,2021-01-09 20:45:41,broken clouds,43.0,31,12.66,75,0.0,0.0
119,Farah,AF,32.5,62.5,2021-01-09 20:46:15,clear sky,31.03,70,1.36,0,0.0,0.0
120,Kisanga,TZ,-7.4362,37.7034,2021-01-09 20:46:15,overcast clouds,74.89,88,3.89,100,0.0,0.0
121,Eyl,SO,7.9803,49.8164,2021-01-09 20:46:15,clear sky,71.8,70,16.49,0,0.0,0.0
122,Ostrovnoy,RU,68.0531,39.5131,2021-01-09 20:46:16,overcast clouds,7.56,92,9.4,95,0.0,0.0
123,Saint George,US,37.1041,-113.5841,2021-01-09 20:46:16,clear sky,51.8,30,8.05,1,0.0,0.0
124,Glendive,US,47.1053,-104.7125,2021-01-09 20:46:16,overcast clouds,30.99,86,1.16,90,0.0,0.0
125,Río Tercero,AR,-32.173,-64.1141,2021-01-09 20:46:16,clear sky,91.71,24,5.97,0,0.0,0.0
126,Bouillante,GP,16.1304,-61.7692,2021-01-09 20:46:17,broken clouds,82.4,69,10.36,75,0.0,0.0
127,Nanortalik,GL,60.1432,-45.2371,2021-01-09 20:46:17,overcast clouds,30.97,93,8.01,99,0.0,0.0
128,Ancud,CL,-41.8697,-73.8203,2021-01-09 20:46:17,light rain,57.99,87,17.27,90,0.72,0.0
129,Tuktoyaktuk,CA,69.4541,-133.0374,2021-01-09 20:46:17,light snow,6.8,85,19.57,90,0.0,0.0
130,Rawson,AR,-43.3002,-65.1023,2021-01-09 20:46:17,few clouds,79.23,19,7.16,20,0.0,0.0
131,Kastamonu Province,TR,41.5,33.6667,2021-01-09 20:46:18,overcast clouds,46.27,80,1.9,100,0.0,0.0
132,Sambava,MG,-14.2667,50.1667,2021-01-09 20:42:15,light rain,76.5,80,4.99,3,0.16,0.0
133,Labuhan,ID,-6.8844,112.2051,2021-01-09 20:46:18,overcast clouds,76.89,88,8.3,100,0.0,0.0
134,Māngrol,IN,21.1167,70.1167,2021-01-09 20:46:18,clear sky,67.39,56,14.99,0,0.0,0.0
135,Lavrentiya,RU,65.5833,-171.0,2021-01-09 20:46:18,clear sky,-13.18,85,3.58,0,0.0,0.0
136,Quatre Cocos,MU,-20.2078,57.7625,2021-01-09 20:46:19,broken clouds,78.8,94,8.05,75,0.0,0.0
137,San Andrés,CO,12.5847,-81.7006,2021-01-09 20:46:19,scattered clouds,84.2,74,11.5,40,0.0,0.0
138,Tuatapere,NZ,-46.1333,167.6833,2021-01-09 20:46:19,overcast clouds,55.0,89,5.01,100,0.0,0.0
139,Issenye,TZ,-2.0,34.3333,2021-01-09 20:46:19,overcast clouds,62.24,94,4.56,100,0.0,0.0
140,Mount Isa,AU,-20.7333,139.5,2021-01-09 20:46:20,clear sky,78.8,65,5.75,0,0.0,0.0
141,Hailar,CN,49.2,119.7,2021-01-09 20:46:20,clear sky,-15.27,87,6.04,0,0.0,0.0
142,Severo-Kuril'sk,RU,50.6789,156.125,2021-01-09 20:46:20,overcast clouds,20.46,86,10.74,90,0.0,0.0
143,Tasiilaq,GL,65.6145,-37.6368,2021-01-09 20:46:20,few clouds,15.8,53,3.44,20,0.0,0.0
144,Mabaruma,GY,8.2,-59.7833,2021-01-09 20:46:21,moderate rain,75.49,96,4.14,100,1.1656,0.0
145,Baillif,GP,16.0202,-61.7463,2021-01-09 20:46:21,broken clouds,82.4,69,10.36,75,0.0,0.0
146,Castro,BR,-24.7911,-50.0119,2021-01-09 20:46:20,overcast clouds,71.76,92,6.4,98,0.0,0.0
147,Pevek,RU,69.7008,170.3133,2021-01-09 20:46:21,broken clouds,-22.9,88,3.67,70,0.0,0.0
148,Fukuechō,JP,32.6881,128.8419,2021-01-09 20:46:21,overcast clouds,38.3,75,19.26,99,0.0,0.0
149,Katangli,RU,51.7102,143.2326,2021-01-09 20:46:21,clear sky,-14.85,87,8.12,9,0.0,0.0
150,Port Elizabeth,ZA,-33.918,25.5701,2021-01-09 20:46:22,scattered clouds,71.6,88,18.41,40,0.0,0.0
151,Les Cayes,HT,18.2,-73.75,2021-01-09 20:46:22,broken clouds,80.53,71,4.88,74,0.0,0.0
152,Gamba,GA,-2.65,10.0,2021-01-09 20:46:22,scattered clouds,77.92,90,5.53,39,0.0,0.0
153,Igarka,RU,67.4667,86.5833,2021-01-09 20:46:22,overcast clouds,-15.95,88,8.48,93,0.0,0.0
154,Arraial do Cabo,BR,-22.9661,-42.0278,2021-01-09 20:46:23,scattered clouds,78.8,89,5.75,40,0.0,0.0
155,Marzuq,YE,14.4,46.4667,2021-01-09 20:46:23,clear sky,54.52,40,2.08,0,0.0,0.0
156,Castlemaine,AU,-37.0667,144.2167,2021-01-09 20:46:23,overcast clouds,70.0,59,1.52,89,0.0,0.0
157,Maniitsoq,GL,65.4167,-52.9,2021-01-09 20:46:23,overcast clouds,23.74,85,12.1,99,0.0,0.0
158,Makkah al Mukarramah,SA,21.4267,39.8261,2021-01-09 20:46:24,clear sky,73.76,65,1.39,2,0.0,0.0
159,Ambovombe,MG,-25.1667,46.0833,2021-01-09 20:46:24,clear sky,75.72,85,9.01,0,0.0,0.0
160,Cascavel,BR,-24.9558,-53.4553,2021-01-09 20:42:22,broken clouds,75.65,92,5.14,63,0.0,0.0
161,Mwingi,KE,-0.9344,38.0601,2021-01-09 20:46:24,light rain,67.78,75,2.21,100,0.3,0.0
162,Yulara,AU,-25.2406,130.9889,2021-01-09 20:46:25,clear sky,73.4,27,5.75,0,0.0,0.0
163,Vilyuysk,RU,63.7553,121.6247,2021-01-09 20:46:25,overcast clouds,-24.81,86,5.77,100,0.0,0.0
164,Reconquista,AR,-29.15,-59.65,2021-01-09 20:46:25,broken clouds,95.61,30,5.88,61,0.0,0.0
165,Karratha,AU,-20.7377,116.8463,2021-01-09 20:46:25,few clouds,90.21,41,8.66,23,0.0,0.0
166,Kaitangata,NZ,-46.2817,169.8464,2021-01-09 20:46:26,clear sky,59.0,72,7.0,9,0.0,0.0
167,Zhezkazgan,KZ,47.8043,67.7144,2021-01-09 20:46:26,overcast clouds,-4.81,88,8.48,95,0.0,0.0
168,Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,2021-01-09 20:46:26,clear sky,64.99,64,1.99,0,0.0,0.0
169,Katherine,AU,-14.4667,132.2667,2021-01-09 20:43:28,overcast clouds,78.8,83,6.91,96,0.0,0.0
170,Scarborough,GB,54.2797,-0.4044,2021-01-09 20:46:26,overcast clouds,32.0,91,5.01,100,0.0,0.0
171,Akureyri,IS,65.6835,-18.0878,2021-01-09 20:46:27,overcast clouds,21.2,79,4.61,90,0.0,0.0
172,Ribeira Grande,PT,38.5167,-28.7,2021-01-09 20:46:27,broken clouds,59.0,63,13.8,75,0.0,0.0
173,Bredasdorp,ZA,-34.5322,20.0403,2021-01-09 20:46:27,scattered clouds,68.0,68,6.91,28,0.0,0.0
174,Itamaracá,BR,-7.7478,-34.8256,2021-01-09 20:46:27,scattered clouds,80.6,61,8.05,40,0.0,0.0
175,Oro Valley,US,32.3909,-110.9665,2021-01-09 20:41:32,clear sky,64.0,19,8.01,0,0.0,0.0
176,Poum,NC,-20.2333,164.0167,2021-01-09 20:46:28,moderate rain,82.45,80,9.75,100,1.29,0.0
177,Blomberg,DE,51.9433,9.0907,2021-01-09 20:46:28,overcast clouds,34.0,97,2.46,98,0.0,0.0
178,Fortuna,US,40.5982,-124.1573,2021-01-09 20:46:19,clear sky,57.99,66,5.64,1,0.0,0.0
179,Kinsale,IE,51.7075,-8.5306,2021-01-09 20:46:28,few clouds,33.8,64,5.75,20,0.0,0.0
180,Powell River,CA,49.8496,-124.5361,2021-01-09 20:46:28,overcast clouds,42.8,81,4.61,90,0.0,0.0
181,Purranque,CL,-40.9167,-73.1667,2021-01-09 20:46:29,light rain,60.8,88,12.66,75,0.33,0.0
182,São João da Barra,BR,-21.6403,-41.0511,2021-01-09 20:46:29,clear sky,82.4,74,13.8,0,0.0,0.0
183,Tual,ID,-5.6667,132.75,2021-01-09 20:46:29,overcast clouds,83.79,75,12.15,100,0.0,0.0
184,Shumskiy,RU,54.8318,99.1328,2021-01-09 20:46:30,overcast clouds,5.38,88,3.31,100,0.0,0.0
185,Businga,CD,3.3333,20.8833,2021-01-09 20:46:30,few clouds,75.79,58,2.48,16,0.0,0.0
186,Lebu,CL,-37.6167,-73.65,2021-01-09 20:46:28,clear sky,60.17,63,8.72,0,0.0,0.0
187,Bermejillo,MX,25.8833,-103.6167,2021-01-09 20:46:30,clear sky,71.01,28,6.17,1,0.0,0.0
188,Mossamedes,AO,-15.1961,12.1522,2021-01-09 20:46:30,overcast clouds,71.38,75,9.17,88,0.0,0.0
189,Bibiani,GH,6.4635,-2.3194,2021-01-09 20:46:30,clear sky,74.89,89,1.77,0,0.0,0.0
190,New Norfolk,AU,-42.7826,147.0587,2021-01-09 20:46:27,few clouds,60.01,80,1.01,11,0.0,0.0
191,Caravelas,BR,-17.7125,-39.2481,2021-01-09 20:46:31,clear sky,79.29,79,10.67,0,0.0,0.0
192,Chokurdakh,RU,70.6333,147.9167,2021-01-09 20:46:26,overcast clouds,-28.23,86,2.08,100,0.0,0.0
193,San Martín,AR,-33.081,-68.4681,2021-01-09 20:46:31,clear sky,89.6,18,8.05,0,0.0,0.0
194,Faanui,PF,-16.4833,-151.75,2021-01-09 20:46:22,clear sky,80.98,72,12.77,2,0.0,0.0
195,Clyde River,CA,70.4692,-68.5914,2021-01-09 20:46:27,light snow,3.2,72,4.61,75,0.0,0.0
196,Bungu,TZ,-7.6337,39.0582,2021-01-09 20:46:32,light rain,75.04,92,6.15,100,0.28,0.0
197,Kumul,CN,42.8,93.45,2021-01-09 20:46:32,clear sky,8.76,92,2.55,10,0.0,0.0
198,Ongandjera,NA,-17.8833,15.0667,2021-01-09 20:46:32,overcast clouds,72.03,63,13.96,94,0.0,0.0
199,Talnakh,RU,69.4865,88.3972,2021-01-09 20:46:32,clear sky,-25.91,83,0.58,6,0.0,0.0
200,Morro Bay,US,35.3658,-120.8499,2021-01-09 20:46:33,overcast clouds,62.01,51,4.0,97,0.0,0.0
201,Kumluca,TR,36.3703,30.2869,2021-01-09 20:46:33,clear sky,59.79,71,5.03,10,0.0,0.0
202,Port Augusta,AU,-32.5,137.7667,2021-01-09 20:46:33,clear sky,70.0,72,1.28,0,0.0,0.0
