ID,City,Country,Time,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
0,Garoowe,SO,2020-11-05 13:21:54,8.41,48.48,86.65,22,0,2.53,clear sky,0.0,0.0
1,Vendas Novas,PT,2020-11-05 13:21:54,38.68,-8.46,63.0,59,20,14.99,few clouds,0.0,0.0
2,Butaritari,KI,2020-11-05 13:21:55,3.07,172.79,81.27,80,98,8.68,light rain,0.17,0.0
3,Makakilo City,US,2020-11-05 13:21:55,21.35,-158.09,77.0,94,90,3.36,overcast clouds,0.0,0.0
4,Cap Malheureux,MU,2020-11-05 13:21:55,-19.98,57.61,75.99,66,21,8.99,few clouds,0.0,0.0
5,Katsuura,JP,2020-11-05 13:23:34,35.13,140.3,57.2,82,75,3.36,broken clouds,0.0,0.0
6,Puerto Ayora,EC,2020-11-05 13:23:34,-0.74,-90.35,70.0,80,99,8.99,overcast clouds,0.0,0.0
7,Yellowknife,CA,2020-11-05 13:21:56,62.46,-114.35,9.0,84,90,13.87,light snow,0.0,0.0
8,Khatanga,RU,2020-11-05 13:23:35,71.97,102.5,-8.57,90,1,5.23,clear sky,0.0,0.0
9,Jamestown,US,2020-11-05 13:21:52,42.1,-79.24,52.0,61,1,10.29,clear sky,0.0,0.0
10,Beringovskiy,RU,2020-11-05 13:23:17,63.05,179.32,38.53,83,80,18.03,broken clouds,0.0,0.0
11,Juba,SS,2020-11-05 13:23:17,4.85,31.58,94.93,34,67,5.44,broken clouds,0.0,0.0
12,Kavieng,PG,2020-11-05 13:21:57,-2.57,150.8,81.9,68,100,6.82,overcast clouds,0.0,0.0
13,Rikitea,PF,2020-11-05 13:23:17,-23.12,-134.97,73.67,67,93,8.57,overcast clouds,0.0,0.0
14,Ushuaia,AR,2020-11-05 13:21:23,-54.8,-68.3,50.0,71,90,21.92,light intensity drizzle,0.0,0.0
15,Khani,GE,2020-11-05 13:21:58,41.96,42.96,71.6,60,90,9.17,overcast clouds,0.0,0.0
16,Lagoa,PT,2020-11-05 13:21:58,39.05,-27.98,61.97,72,100,21.41,light rain,0.12,0.0
17,Novy Urengoy,RU,2020-11-05 13:21:58,66.08,76.63,-3.14,92,0,2.84,clear sky,0.0,0.0
18,Longyearbyen,SJ,2020-11-05 13:21:59,78.22,15.64,35.6,74,75,13.87,shower rain,0.0,0.0
19,Sitka,US,2020-11-05 13:21:59,57.05,-135.33,37.4,69,90,18.34,overcast clouds,0.0,0.0
20,Hithadhoo,MV,2020-11-05 13:21:59,-0.6,73.08,84.85,70,63,6.73,light rain,0.18,0.0
21,Aktau,KZ,2020-11-05 13:22:00,43.65,51.2,68.0,20,0,11.18,clear sky,0.0,0.0
22,Jalu,LY,2020-11-05 13:22:00,29.03,21.55,77.58,36,0,12.88,clear sky,0.0,0.0
23,São Filipe,CV,2020-11-05 13:22:00,14.9,-24.5,77.86,71,90,3.94,overcast clouds,0.0,0.0
24,Atuona,PF,2020-11-05 13:22:00,-9.8,-139.03,78.08,79,20,23.06,light rain,0.13,0.0
25,Saint Paul Harbor,US,2020-11-05 13:22:01,57.79,-152.41,30.2,39,1,5.82,clear sky,0.0,0.0
26,San Policarpo,PH,2020-11-05 13:22:01,12.18,125.51,79.84,83,3,3.91,light rain,0.53,0.0
27,Vaini,TO,2020-11-05 13:22:01,-21.2,-175.2,73.4,83,20,10.29,few clouds,0.0,0.0
28,Ponta do Sol,PT,2020-11-05 13:22:01,32.67,-17.1,64.4,68,40,11.41,light intensity shower rain,0.0,0.0
29,Hilo,US,2020-11-05 13:20:56,19.73,-155.09,71.6,78,40,4.7,scattered clouds,0.0,0.0
30,Joshīmath,IN,2020-11-05 13:19:08,30.57,79.57,47.34,49,12,3.65,few clouds,0.0,0.0
31,Saint-Pierre,RE,2020-11-05 13:20:57,-21.34,55.48,78.01,61,20,18.34,few clouds,0.0,0.0
32,Luau,AO,2020-11-05 13:22:02,-10.71,22.22,88.09,46,16,2.33,few clouds,0.0,0.0
33,California City,US,2020-11-05 13:22:03,35.13,-117.99,61.0,30,20,9.17,few clouds,0.0,0.0
34,Albany,US,2020-11-05 13:17:11,42.6,-73.97,48.0,62,6,3.02,clear sky,0.0,0.0
35,Pacific Grove,US,2020-11-05 13:22:03,36.62,-121.92,51.8,71,1,8.99,clear sky,0.0,0.0
36,Busselton,AU,2020-11-05 13:17:46,-33.65,115.33,69.01,33,26,13.82,scattered clouds,0.0,0.0
37,Rivadavia,AR,2020-11-05 13:17:36,-33.19,-68.46,68.0,20,0,17.22,clear sky,0.0,0.0
38,Taltal,CL,2020-11-05 13:22:04,-25.4,-70.48,65.21,56,0,5.12,clear sky,0.0,0.0
39,Gouyave,GD,2020-11-05 13:22:04,12.16,-61.73,84.2,74,20,13.87,few clouds,0.0,0.0
40,Alta Floresta,BR,2020-11-05 13:19:07,-9.88,-56.09,89.31,49,95,4.76,overcast clouds,0.0,0.0
41,Dikson,RU,2020-11-05 13:22:04,73.51,80.55,1.04,91,0,3.65,clear sky,0.0,0.0
42,Punta Arenas,CL,2020-11-05 13:22:04,-53.15,-70.92,51.8,71,75,16.11,broken clouds,0.0,0.0
43,Hermanus,ZA,2020-11-05 13:19:37,-34.42,19.23,71.01,74,51,3.0,broken clouds,0.0,0.0
44,East London,ZA,2020-11-05 13:22:05,-33.02,27.91,75.2,83,40,11.41,scattered clouds,0.0,0.0
45,Shangrao,CN,2020-11-05 13:22:06,28.45,117.97,59.81,73,0,3.6,clear sky,0.0,0.0
46,Kruisfontein,ZA,2020-11-05 13:22:06,-34.0,24.73,73.67,66,100,11.36,overcast clouds,0.0,0.0
47,Ust'-Ishim,RU,2020-11-05 13:22:06,57.69,71.17,32.59,97,91,4.68,overcast clouds,0.0,0.0
48,Hobart,AU,2020-11-05 13:18:39,-42.88,147.33,53.6,58,40,11.41,scattered clouds,0.0,0.0
49,Thompson,CA,2020-11-05 13:22:06,55.74,-97.86,3.2,84,75,4.7,broken clouds,0.0,0.0
50,Bluff,NZ,2020-11-05 13:22:07,-46.6,168.33,44.01,92,100,3.87,light rain,0.18,0.0
51,Ipixuna,BR,2020-11-05 13:22:07,-1.76,-48.8,84.2,74,75,10.29,broken clouds,0.0,0.0
52,Hato Mayor,DO,2020-11-05 13:22:07,18.76,-69.26,80.6,88,20,4.7,few clouds,0.0,0.0
53,Saint-Philippe,RE,2020-11-05 13:22:07,-21.36,55.77,78.01,61,20,18.34,few clouds,0.0,0.0
54,Port Alfred,ZA,2020-11-05 13:22:08,-33.59,26.89,77.45,69,57,12.75,light rain,0.4,0.0
55,Flinders,AU,2020-11-05 13:20:42,-34.58,150.86,57.0,84,96,7.0,light rain,0.13,0.0
56,Mataura,NZ,2020-11-05 13:22:08,-46.19,168.86,44.01,92,100,3.0,moderate rain,1.02,0.0
57,Payson,US,2020-11-05 13:22:08,40.04,-111.73,46.0,80,1,3.29,clear sky,0.0,0.0
58,Acajutla,SV,2020-11-05 13:17:53,13.59,-89.83,66.0,100,100,6.96,light rain,0.53,0.0
59,Hobyo,SO,2020-11-05 13:22:09,5.35,48.53,81.84,73,12,13.33,few clouds,0.0,0.0
60,Kapaa,US,2020-11-05 13:22:09,22.08,-159.32,71.6,100,20,9.17,few clouds,0.0,0.0
61,Havøysund,NO,2020-11-05 13:22:09,71.0,24.66,39.2,93,75,12.75,broken clouds,0.0,0.0
62,Half Moon Bay,US,2020-11-05 13:22:09,37.46,-122.43,59.0,100,90,5.61,fog,0.0,0.0
63,Warrensburg,US,2020-11-05 13:17:36,38.76,-93.74,50.0,71,1,4.7,clear sky,0.0,0.0
64,Necochea,AR,2020-11-05 13:19:13,-38.55,-58.74,68.0,57,20,18.01,light rain,0.18,0.0
65,Chui,UY,2020-11-05 13:22:10,-33.7,-53.46,67.41,63,3,12.33,clear sky,0.0,0.0
66,Tilichiki,RU,2020-11-05 13:22:10,60.47,166.1,27.82,96,100,16.87,overcast clouds,0.0,0.0
67,Selma,US,2020-11-05 13:22:10,36.57,-119.61,53.6,81,75,6.93,broken clouds,0.0,0.0
68,Te Anau,NZ,2020-11-05 13:22:12,-45.42,167.72,47.26,92,100,3.67,moderate rain,1.28,0.0
69,Zhangjiakou,CN,2020-11-05 13:22:12,40.81,114.88,46.22,49,100,2.95,overcast clouds,0.0,0.0
70,Phichit,TH,2020-11-05 13:22:12,16.25,100.42,80.6,78,0,2.24,clear sky,0.0,0.0
71,Madarounfa,NE,2020-11-05 13:22:12,13.31,7.16,95.0,17,73,9.17,dust,0.0,0.0
72,Fairbanks,US,2020-11-05 13:17:26,64.84,-147.72,-9.0,68,75,2.17,light snow,0.0,0.0
73,Torbay,CA,2020-11-05 13:22:13,47.67,-52.73,35.01,84,40,16.11,scattered clouds,0.0,0.0
74,Raudeberg,NO,2020-11-05 13:22:13,61.99,5.14,53.6,93,90,16.11,light intensity drizzle rain,0.13,0.0
75,Bilibino,RU,2020-11-05 13:22:13,68.05,166.44,11.3,92,100,7.92,overcast clouds,0.0,0.0
76,Thinadhoo,MV,2020-11-05 13:22:14,0.53,72.93,84.63,66,19,4.81,few clouds,0.0,0.0
77,Qaanaaq,GL,2020-11-05 13:22:14,77.48,-69.36,-1.68,88,100,0.92,overcast clouds,0.0,0.0
78,Waingapu,ID,2020-11-05 13:22:14,-9.66,120.26,82.08,71,100,1.61,overcast clouds,0.0,0.0
79,Tomatlán,MX,2020-11-05 13:22:14,19.93,-105.25,68.99,63,0,3.02,clear sky,0.0,0.0
80,Avarua,CK,2020-11-05 13:22:05,-21.21,-159.78,71.6,88,100,8.05,light rain,0.0,0.0
81,Jumla,NP,2020-11-05 13:22:15,29.27,82.18,41.77,64,0,3.91,clear sky,0.0,0.0
82,Lázaro Cárdenas,MX,2020-11-05 13:18:21,17.96,-102.2,74.12,73,98,5.28,overcast clouds,0.0,0.0
83,Brufut,GM,2020-11-05 13:22:15,13.38,-16.75,89.6,66,75,5.82,broken clouds,0.0,0.0
84,Naze,JP,2020-11-05 13:22:16,28.37,129.48,75.2,69,75,14.99,light rain,0.23,0.0
85,Cockburn Town,TC,2020-11-05 13:18:04,21.46,-71.14,80.71,77,100,21.59,light rain,0.43,0.0
86,Grand Gaube,MU,2020-11-05 13:22:16,-20.01,57.66,75.99,66,17,8.99,few clouds,0.0,0.0
87,Zhigansk,RU,2020-11-05 13:22:16,66.77,123.37,-0.81,92,94,6.22,overcast clouds,0.0,0.0
88,Nikolskoye,RU,2020-11-05 13:22:17,59.7,30.79,46.99,75,75,17.9,broken clouds,0.0,0.0
89,Yatou,CN,2020-11-05 13:22:17,37.15,122.38,57.81,68,100,13.96,overcast clouds,0.0,0.0
90,Upernavik,GL,2020-11-05 13:22:17,72.79,-56.15,12.52,93,89,3.76,overcast clouds,0.0,0.0
91,Changli,CN,2020-11-05 13:22:17,39.7,119.15,52.5,59,100,4.45,overcast clouds,0.0,0.0
92,Tura,IN,2020-11-05 13:22:17,25.52,90.22,62.28,62,0,1.95,clear sky,0.0,0.0
93,Codrington,AU,2020-11-05 13:22:18,-38.27,141.97,51.82,69,100,6.31,overcast clouds,0.0,0.0
94,Cape Town,ZA,2020-11-05 13:17:58,-33.93,18.42,75.0,64,40,19.46,scattered clouds,0.0,0.0
95,Evensk,RU,2020-11-05 13:22:18,61.95,159.23,5.14,86,94,13.47,overcast clouds,0.0,0.0
96,Okha,RU,2020-11-05 13:22:18,53.57,142.95,29.05,92,100,24.45,overcast clouds,0.0,0.0
97,Tautira,PF,2020-11-05 13:22:19,-17.73,-149.15,78.8,74,75,12.75,broken clouds,0.0,0.0
98,Saint Lawrence,MT,2020-11-05 13:22:19,36.06,14.2,70.0,77,40,3.36,scattered clouds,0.0,0.0
99,Kerema,PG,2020-11-05 13:22:19,-7.96,145.78,78.96,85,100,3.49,moderate rain,2.734,0.0
100,Point Pleasant,US,2020-11-05 13:22:19,40.08,-74.07,53.01,100,90,3.36,fog,0.0,0.0
101,Iqaluit,CA,2020-11-05 13:19:23,63.75,-68.51,12.2,66,75,8.05,broken clouds,0.0,0.0
102,Aranda de Duero,ES,2020-11-05 13:22:20,41.67,-3.69,56.53,60,100,23.0,overcast clouds,0.0,0.0
103,Lumut,MY,2020-11-05 13:22:20,4.23,100.63,82.4,83,40,2.24,scattered clouds,0.0,0.0
104,Mar del Plata,AR,2020-11-05 13:21:22,-38.0,-57.56,62.6,63,0,18.34,clear sky,0.0,0.0
105,Provideniya,RU,2020-11-05 13:22:20,64.38,-173.3,35.83,95,100,26.49,light rain,0.62,0.0
106,Aljezur,PT,2020-11-05 13:22:21,37.32,-8.8,63.95,63,100,9.93,overcast clouds,0.0,0.0
107,Cayenne,GF,2020-11-05 13:22:21,4.93,-52.33,82.4,83,75,3.36,broken clouds,0.0,0.0
108,Barrow,US,2020-11-05 13:22:21,71.29,-156.79,10.4,85,90,12.75,overcast clouds,0.0,0.0
109,Faya,SA,2020-11-05 13:22:21,18.39,42.45,69.8,60,40,9.17,scattered clouds,0.0,0.0
110,Barra de Tecoanapa,MX,2020-11-05 13:22:21,16.52,-98.75,72.52,58,100,4.41,overcast clouds,0.0,0.0
111,Sayyan,YE,2020-11-05 13:22:22,15.17,44.32,69.75,21,0,2.73,clear sky,0.0,0.0
112,Collie,AU,2020-11-05 13:22:22,-33.37,116.15,69.01,33,21,12.12,few clouds,0.0,0.0
113,Hualmay,PE,2020-11-05 13:22:22,-11.1,-77.61,64.42,74,57,7.96,broken clouds,0.0,0.0
114,Leningradskiy,RU,2020-11-05 13:22:23,69.38,178.42,16.63,96,100,6.64,overcast clouds,0.0,0.0
115,George Town,MY,2020-11-05 13:18:29,5.41,100.34,82.4,83,20,2.24,few clouds,0.0,0.0
116,Mahébourg,MU,2020-11-05 13:22:23,-20.41,57.7,77.0,61,40,9.17,scattered clouds,0.0,0.0
117,Bambanglipuro,ID,2020-11-05 13:27:45,-7.95,110.28,79.52,86,100,8.08,moderate rain,2.5,0.0
118,Philadelphia,US,2020-11-05 13:25:55,39.95,-75.16,53.01,100,40,5.99,fog,0.0,0.0
119,Farah,AF,2020-11-05 13:27:45,32.5,62.5,52.21,34,0,1.28,clear sky,0.0,0.0
120,Kisanga,TZ,2020-11-05 13:27:45,-7.44,37.7,90.63,36,4,4.85,clear sky,0.0,0.0
121,Eyl,SO,2020-11-05 13:27:46,7.98,49.82,80.42,56,0,16.11,clear sky,0.0,0.0
122,Ostrovnoy,RU,2020-11-05 13:27:46,68.05,39.51,37.4,82,100,17.98,overcast clouds,0.0,0.0
123,Saint George,US,2020-11-05 13:26:06,37.1,-113.58,51.8,34,1,2.84,clear sky,0.0,0.0
124,Glendive,US,2020-11-05 13:27:46,47.11,-104.71,41.0,80,1,6.93,clear sky,0.0,0.0
125,Río Tercero,AR,2020-11-05 13:27:46,-32.17,-64.11,71.01,22,0,8.01,clear sky,0.0,0.0
126,Bouillante,GP,2020-11-05 13:27:47,16.13,-61.77,82.4,74,20,5.82,few clouds,0.0,0.0
127,Nanortalik,GL,2020-11-05 13:27:47,60.14,-45.24,30.38,90,0,45.23,clear sky,0.0,0.0
128,Ancud,CL,2020-11-05 13:27:47,-41.87,-73.82,55.0,87,75,6.93,broken clouds,0.0,0.0
129,Tuktoyaktuk,CA,2020-11-05 13:27:47,69.45,-133.04,2.43,89,99,14.29,overcast clouds,0.0,0.0
130,Rawson,AR,2020-11-05 13:27:47,-43.3,-65.1,62.2,34,0,23.38,clear sky,0.0,0.0
131,Kastamonu Province,TR,2020-11-05 13:27:48,41.5,33.67,50.0,87,90,8.05,overcast clouds,0.0,0.0
132,Sambava,MG,2020-11-05 13:27:48,-14.27,50.17,79.79,72,100,13.18,overcast clouds,0.0,0.0
133,Labuhan,ID,2020-11-05 13:27:48,-6.88,112.21,82.42,74,98,1.95,overcast clouds,0.0,0.0
134,Māngrol,IN,2020-11-05 13:27:48,21.12,70.12,81.88,58,0,4.88,clear sky,0.0,0.0
135,Lavrentiya,RU,2020-11-05 13:27:48,65.58,-171.0,34.63,95,100,33.22,overcast clouds,0.0,0.0
136,Quatre Cocos,MU,2020-11-05 13:27:49,-20.21,57.76,77.0,61,40,9.17,scattered clouds,0.0,0.0
137,San Andrés,CO,2020-11-05 13:27:49,12.58,-81.7,77.0,100,75,2.24,broken clouds,0.0,0.0
138,Tuatapere,NZ,2020-11-05 13:27:49,-46.13,167.68,44.01,92,100,3.56,moderate rain,1.05,0.0
139,Issenye,TZ,2020-11-05 13:27:08,-2.0,34.33,82.74,42,69,3.38,broken clouds,0.0,0.0
140,Mount Isa,AU,2020-11-05 13:27:50,-20.73,139.5,87.8,19,0,18.34,clear sky,0.0,0.0
141,Hailar,CN,2020-11-05 13:27:50,49.2,119.7,25.12,98,100,6.71,overcast clouds,0.0,0.0
142,Severo-Kuril'sk,RU,2020-11-05 13:27:50,50.68,156.12,35.85,84,92,31.34,overcast clouds,0.0,0.0
143,Tasiilaq,GL,2020-11-05 13:27:50,65.61,-37.64,26.6,92,90,13.87,light snow,0.0,0.0
144,Mabaruma,GY,2020-11-05 13:27:50,8.2,-59.78,80.28,93,88,5.19,moderate rain,3.19,0.0
145,Baillif,GP,2020-11-05 13:27:51,16.02,-61.75,82.4,74,20,5.82,few clouds,0.0,0.0
146,Castro,BR,2020-11-05 13:24:04,-24.79,-50.01,55.83,79,100,5.61,overcast clouds,0.0,0.0
147,Pevek,RU,2020-11-05 13:27:51,69.7,170.31,19.56,94,100,10.31,overcast clouds,0.0,0.0
148,Fukuechō,JP,2020-11-05 13:27:51,32.69,128.84,64.35,43,26,5.21,scattered clouds,0.0,0.0
149,Katangli,RU,2020-11-05 13:27:51,51.71,143.23,26.4,83,100,13.27,overcast clouds,0.0,0.0
150,Port Elizabeth,ZA,2020-11-05 13:27:28,-33.92,25.57,71.6,88,40,3.36,light rain,0.0,0.0
151,Les Cayes,HT,2020-11-05 13:27:52,18.2,-73.75,79.21,79,92,2.17,overcast clouds,0.0,0.0
152,Gamba,GA,2020-11-05 13:27:52,-2.65,10.0,79.59,82,97,5.59,light rain,0.38,0.0
153,Igarka,RU,2020-11-05 13:27:52,67.47,86.58,-0.99,86,99,3.87,overcast clouds,0.0,0.0
154,Arraial do Cabo,BR,2020-11-05 13:27:53,-22.97,-42.03,75.2,73,40,10.29,scattered clouds,0.0,0.0
155,Marzuq,YE,2020-11-05 13:27:53,14.4,46.47,81.45,14,0,5.68,clear sky,0.0,0.0
156,Castlemaine,AU,2020-11-05 13:27:53,-37.07,144.22,48.0,41,0,6.04,clear sky,0.0,0.0
157,Maniitsoq,GL,2020-11-05 13:27:53,65.42,-52.9,23.99,87,63,22.95,broken clouds,0.0,0.0
158,Makkah al Mukarramah,SA,2020-11-05 13:27:54,21.43,39.83,89.94,33,10,14.52,clear sky,0.0,0.0
159,Ambovombe,MG,2020-11-05 13:27:54,-25.17,46.08,79.32,65,97,10.36,overcast clouds,0.0,0.0
160,Cascavel,BR,2020-11-05 13:26:48,-24.96,-53.46,77.0,56,0,16.11,clear sky,0.0,0.0
161,Mwingi,KE,2020-11-05 13:27:54,-0.93,38.06,81.79,47,88,9.37,overcast clouds,0.0,0.0
162,Yulara,AU,2020-11-05 13:27:55,-25.24,130.99,78.8,27,29,8.05,scattered clouds,0.0,0.0
163,Vilyuysk,RU,2020-11-05 13:27:55,63.76,121.62,-3.53,92,100,4.23,overcast clouds,0.0,0.0
164,Reconquista,AR,2020-11-05 13:27:55,-29.15,-59.65,68.79,44,21,12.46,few clouds,0.0,0.0
165,Karratha,AU,2020-11-05 13:25:26,-20.74,116.85,81.3,47,0,17.22,clear sky,0.0,0.0
166,Kaitangata,NZ,2020-11-05 13:27:56,-46.28,169.85,50.0,96,100,1.99,light rain,0.11,0.0
167,Zhezkazgan,KZ,2020-11-05 13:27:56,47.8,67.71,39.6,55,0,5.35,clear sky,0.0,0.0
168,Rodolfo Sánchez Taboada,MX,2020-11-05 13:27:56,31.72,-116.57,72.57,25,97,8.28,overcast clouds,0.0,0.0
169,Katherine,AU,2020-11-05 13:27:56,-14.47,132.27,93.2,32,14,5.82,few clouds,0.0,0.0
170,Scarborough,GB,2020-11-05 13:27:56,54.28,-0.4,52.0,80,23,1.01,few clouds,0.0,0.0
171,Akureyri,IS,2020-11-05 13:24:22,65.68,-18.09,51.8,62,20,29.97,few clouds,0.0,0.0
172,Ribeira Grande,PT,2020-11-05 13:27:57,38.52,-28.7,62.6,72,40,19.46,scattered clouds,0.0,0.0
173,Bredasdorp,ZA,2020-11-05 13:27:57,-34.53,20.04,73.4,69,40,5.82,scattered clouds,0.0,0.0
174,Itamaracá,BR,2020-11-05 13:27:57,-7.75,-34.83,86.0,66,40,10.29,scattered clouds,0.0,0.0
175,Oro Valley,US,2020-11-05 13:27:57,32.39,-110.97,64.0,25,1,8.05,clear sky,0.0,0.0
176,Poum,NC,2020-11-05 13:27:58,-20.23,164.02,76.75,79,93,7.61,overcast clouds,0.0,0.0
177,Blomberg,DE,2020-11-05 13:27:58,51.94,9.09,50.0,76,20,9.17,few clouds,0.0,0.0
178,Fortuna,US,2020-11-05 13:27:58,40.6,-124.16,55.0,100,90,2.91,overcast clouds,0.0,0.0
179,Kinsale,IE,2020-11-05 13:27:59,51.71,-8.53,51.01,66,20,3.36,few clouds,0.0,0.0
180,Powell River,CA,2020-11-05 13:27:59,49.85,-124.54,51.8,76,75,3.36,broken clouds,0.0,0.0
181,Purranque,CL,2020-11-05 13:27:59,-40.92,-73.17,51.8,81,75,4.7,broken clouds,0.0,0.0
182,São João da Barra,BR,2020-11-05 13:27:59,-21.64,-41.05,77.0,69,75,9.17,broken clouds,0.0,0.0
183,Tual,ID,2020-11-05 13:27:59,-5.67,132.75,83.25,77,62,11.07,broken clouds,0.0,0.0
184,Shumskiy,RU,2020-11-05 13:28:00,54.83,99.13,29.77,91,100,8.43,overcast clouds,0.0,0.0
185,Businga,CD,2020-11-05 13:28:00,3.33,20.88,81.34,89,100,3.49,moderate rain,1.95,0.0
186,Lebu,CL,2020-11-05 13:28:00,-37.62,-73.65,53.73,74,0,15.14,clear sky,0.0,0.0
187,Bermejillo,MX,2020-11-05 13:28:00,25.88,-103.62,55.4,43,5,2.98,clear sky,0.0,0.0
188,Mossamedes,AO,2020-11-05 13:28:00,-15.2,12.15,80.6,65,0,11.41,clear sky,0.0,0.0
189,Bibiani,GH,2020-11-05 13:28:01,6.46,-2.32,93.51,43,91,2.98,overcast clouds,0.0,0.0
190,New Norfolk,AU,2020-11-05 13:28:01,-42.78,147.06,53.6,58,90,9.17,overcast clouds,0.0,0.0
191,Caravelas,BR,2020-11-05 13:28:01,-17.71,-39.25,72.55,94,100,4.92,light rain,0.39,0.0
192,Chokurdakh,RU,2020-11-05 13:28:01,70.63,147.92,-0.45,94,99,8.86,overcast clouds,0.0,0.0
193,San Martín,AR,2020-11-05 13:28:02,-33.08,-68.47,68.0,20,0,17.22,clear sky,0.0,0.0
194,Faanui,PF,2020-11-05 13:28:02,-16.48,-151.75,78.8,83,69,11.59,broken clouds,0.0,0.0
195,Clyde River,CA,2020-11-05 13:28:02,70.47,-68.59,-0.4,64,75,21.92,broken clouds,0.0,0.0
196,Bungu,TZ,2020-11-05 13:28:02,-7.63,39.06,82.98,56,66,9.71,broken clouds,0.0,0.0
197,Kumul,CN,2020-11-05 13:28:02,42.8,93.45,39.31,57,0,6.58,clear sky,0.0,0.0
198,Ongandjera,NA,2020-11-05 13:28:03,-17.88,15.07,93.9,14,28,8.88,scattered clouds,0.0,0.0
199,Talnakh,RU,2020-11-05 13:28:03,69.49,88.4,1.4,84,0,2.24,clear sky,0.0,0.0
200,Morro Bay,US,2020-11-05 13:27:18,35.37,-120.85,71.6,34,1,6.93,clear sky,0.0,0.0
201,Kumluca,TR,2020-11-05 13:28:03,36.37,30.29,73.47,41,67,2.77,broken clouds,0.0,0.0
202,Port Augusta,AU,2020-11-05 13:28:03,-32.5,137.77,57.2,67,99,11.41,overcast clouds,0.0,0.0
